epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
89,149.447,0.81588,0.89949,1.57327,0.94701,0,0.6948,0.76045,0.72853,0.49381,0.6948,0.76045,0.71878,0.46834,1.20375,2.53898,1.56942,1.21871,0,0.000456758,0.000456758,0.000456758
90,151.091,0.84209,1.14005,1.64596,0.97387,0,0.8501,0.66667,0.72993,0.47783,0.8501,0.66667,0.71963,0.44718,1.18029,2.49734,1.57988,1.20005,0,0.000443005,0.000443005,0.000443005
91,152.688,0.71829,0.89949,1.50051,0.95724,0,0.8501,0.66667,0.72993,0.47783,0.8501,0.66667,0.71963,0.44718,1.18029,2.49734,1.57988,1.20005,0,0.000429253,0.000429253,0.000429253
92,154.373,0.78804,0.86078,1.46981,0.95208,0,0.85701,0.66667,0.76184,0.5148,0.85701,0.66667,0.75106,0.49082,1.07539,2.36968,1.62365,1.15583,0,0.0004155,0.0004155,0.0004155
93,155.975,0.71363,0.76471,1.28939,0.92569,0,0.85701,0.66667,0.76184,0.5148,0.85701,0.66667,0.75106,0.49082,1.07539,2.36968,1.62365,1.15583,0,0.000401747,0.000401747,0.000401747
94,157.778,0.6977,0.78139,1.37598,0.91724,0,0.8383,0.66667,0.7821,0.54881,0.8383,0.66667,0.76958,0.50713,1.04017,2.22457,1.63298,1.13139,0,0.000387994,0.000387994,0.000387994
95,159.43,0.7946,0.87871,1.44387,0.97478,0,0.8383,0.66667,0.7821,0.54881,0.8383,0.66667,0.76958,0.50713,1.04017,2.22457,1.63298,1.13139,0,0.000374242,0.000374242,0.000374242
96,161.16,0.80174,0.88642,1.3252,0.9149,0,0.96684,0.66667,0.82422,0.57217,0.96684,0.66667,0.80957,0.54866,1.02847,2.10073,1.63254,1.12462,0,0.000360489,0.000360489,0.000360489
97,162.772,0.72372,0.80642,1.39215,0.91807,0,0.96684,0.66667,0.82422,0.57217,0.96684,0.66667,0.80957,0.54866,1.02847,2.10073,1.63254,1.12462,0,0.000346736,0.000346736,0.000346736
98,164.413,0.71336,0.7788,1.31399,0.88827,0,0.95372,0.66667,0.82179,0.56816,0.95372,0.66667,0.80591,0.57275,1.02974,1.9952,1.65143,1.12739,0,0.000332983,0.000332983,0.000332983
99,166.029,0.63041,0.69147,1.34997,0.86859,0,0.95372,0.66667,0.82179,0.56816,0.95372,0.66667,0.80591,0.57275,1.02974,1.9952,1.65143,1.12739,0,0.000319231,0.000319231,0.000319231
100,167.656,0.63424,0.76753,1.27566,0.95056,0,0.9636,0.66667,0.8279,0.58688,0.9636,0.66667,0.80958,0.57382,1.04159,1.92716,1.65184,1.12472,0,0.000305478,0.000305478,0.000305478
101,169.25,0.69435,0.84243,1.37367,0.96138,0,0.9636,0.66667,0.8279,0.58688,0.9636,0.66667,0.80958,0.57382,1.04159,1.92716,1.65184,1.12472,0,0.000291725,0.000291725,0.000291725
102,170.899,0.64259,0.73114,1.25931,0.83565,0,0.96781,0.66667,0.81867,0.58057,0.96781,0.66667,0.80155,0.57002,1.06127,1.941,1.66559,1.12022,0,0.000277972,0.000277972,0.000277972
103,172.505,0.71574,0.80859,1.36643,0.93671,0,0.96781,0.66667,0.81867,0.58057,0.96781,0.66667,0.80155,0.57002,1.06127,1.941,1.66559,1.12022,0,0.00026422,0.00026422,0.00026422
104,174.128,0.75498,0.85476,1.36556,0.93723,0,0.97889,0.66667,0.81804,0.5804,0.97889,0.66667,0.80103,0.56987,1.07117,1.9542,1.67288,1.11567,0,0.000250467,0.000250467,0.000250467
105,175.797,0.65458,0.87308,1.42097,0.89454,0,0.97889,0.66667,0.81804,0.5804,0.97889,0.66667,0.80103,0.56987,1.07117,1.9542,1.67288,1.11567,0,0.000236714,0.000236714,0.000236714
106,177.441,0.70973,0.71581,1.25637,0.92744,0,1,0.66431,0.82082,0.57196,1,0.66431,0.80523,0.56542,1.07669,1.92138,1.64548,1.11598,0,0.000222961,0.000222961,0.000222961
107,179.061,0.66335,0.74806,1.26505,0.91205,0,1,0.66431,0.82082,0.57196,1,0.66431,0.80523,0.56542,1.07669,1.92138,1.64548,1.11598,0,0.000209209,0.000209209,0.000209209
108,180.682,0.66209,0.84106,1.22719,0.89556,0,1,0.65076,0.81942,0.56696,1,0.65076,0.80524,0.5751,1.10334,1.86872,1.63668,1.13,0,0.000195456,0.000195456,0.000195456
109,182.253,0.62326,0.67659,1.2003,0.9126,0,1,0.65076,0.81942,0.56696,1,0.65076,0.80524,0.5751,1.10334,1.86872,1.63668,1.13,0,0.000181703,0.000181703,0.000181703
110,183.85,0.6312,0.65622,1.17363,0.8649,0,1,0.66456,0.82307,0.55789,1,0.66456,0.81008,0.57546,1.11663,1.80177,1.58711,1.13311,0,0.00016795,0.00016795,0.00016795
111,205.256,0.76966,0.92223,1.50454,0.93331,0,1,0.66456,0.82307,0.55789,1,0.66456,0.81008,0.57546,1.11663,1.80177,1.58711,1.13311,0,0.000154198,0.000154198,0.000154198
112,206.95,0.68886,0.70663,1.31089,0.91282,0,0.98075,0.66667,0.83219,0.56726,0.98075,0.66667,0.81864,0.5885,1.10889,1.75827,1.57128,1.12698,0,0.000140445,0.000140445,0.000140445
113,208.548,0.61236,0.74452,1.21989,0.90492,0,0.98075,0.66667,0.83219,0.56726,0.98075,0.66667,0.81864,0.5885,1.10889,1.75827,1.57128,1.12698,0,0.000126692,0.000126692,0.000126692
114,210.165,0.79499,0.72614,1.35852,1.01,0,0.96082,0.66667,0.83803,0.59017,0.96082,0.66667,0.82515,0.58595,1.10628,1.73024,1.54057,1.1219,0,0.000112939,0.000112939,0.000112939
115,211.745,0.63488,0.85012,1.28414,0.88873,0,0.96082,0.66667,0.83803,0.59017,0.96082,0.66667,0.82515,0.58595,1.10628,1.73024,1.54057,1.1219,0,9.91865e-05,9.91865e-05,9.91865e-05
116,213.323,0.63571,0.8748,1.15942,0.88375,0,0.95319,0.66667,0.83745,0.5997,0.95319,0.66667,0.82531,0.59384,1.09507,1.70665,1.51826,1.12293,0,8.54337e-05,8.54337e-05,8.54337e-05
117,214.889,0.67298,0.82664,1.29521,0.89301,0,0.95319,0.66667,0.83745,0.5997,0.95319,0.66667,0.82531,0.59384,1.09507,1.70665,1.51826,1.12293,0,7.1681e-05,7.1681e-05,7.1681e-05
118,216.475,0.71008,0.92044,1.26625,0.94622,0,0.95288,0.66667,0.82627,0.59673,0.95288,0.66667,0.81493,0.58964,1.08999,1.69219,1.48073,1.11968,0,5.79283e-05,5.79283e-05,5.79283e-05
119,218.024,0.68831,0.81231,1.35495,0.91135,0,0.95288,0.66667,0.82627,0.59673,0.95288,0.66667,0.81493,0.58964,1.08999,1.69219,1.48073,1.11968,0,4.41755e-05,4.41755e-05,4.41755e-05
